time_iso8601,stars_cumulative
2023-02-26 00:00:00+00:00,8371
2023-02-27 00:00:00+00:00,8668
2023-02-28 00:00:00+00:00,8856
2023-03-01 00:00:00+00:00,8936
2023-03-02 00:00:00+00:00,8985
2023-03-03 00:00:00+00:00,9015
2023-03-04 00:00:00+00:00,9042
2023-03-05 00:00:00+00:00,9072
2023-03-06 00:00:00+00:00,9105
2023-03-07 00:00:00+00:00,9120
2023-03-08 00:00:00+00:00,9133
2023-03-09 00:00:00+00:00,9148
2023-03-10 00:00:00+00:00,9168
2023-03-11 00:00:00+00:00,9189
2023-03-12 00:00:00+00:00,9199
2023-03-13 00:00:00+00:00,9215
2023-03-14 00:00:00+00:00,9229
2023-03-15 00:00:00+00:00,9240
2023-03-16 00:00:00+00:00,9268
2023-03-17 00:00:00+00:00,9284
2023-03-18 00:00:00+00:00,9298
2023-03-19 00:00:00+00:00,9314
2023-03-20 00:00:00+00:00,9328
2023-03-21 00:00:00+00:00,9350
2023-03-22 00:00:00+00:00,9367
2023-03-23 00:00:00+00:00,9377
2023-03-24 00:00:00+00:00,9384
2023-03-25 00:00:00+00:00,9398
2023-03-26 00:00:00+00:00,9411
2023-03-27 00:00:00+00:00,9422
2023-03-28 00:00:00+00:00,9435
2023-03-29 00:00:00+00:00,9460
2023-03-30 00:00:00+00:00,9563
2023-03-31 00:00:00+00:00,9592
2023-04-01 00:00:00+00:00,9620
2023-04-02 00:00:00+00:00,9638
2023-04-03 00:00:00+00:00,9653
